dbn,program,program_name,grade9geapplicantsperseat,grade9swdapplicantsperseat,eligibility,prgdesc,admissionspriority1,admissionspriority2,admissionspriority3,admissionspriority4,requirement_1,requirement_2,requirement_3,requirement_4,requirement_5,school_name,diadetails,location,website,total_students,addtl_info1,school_accessibility_description
01M292,program1,Orchard Collegiate Academy,8,9,NA,NA,Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Orchard Collegiate Academy,NA,"220 Henry Street, Manhattan NY 10002 (40.713362,-73.986051)",www.orchardcollegiateacademy.org,226,"10th Grade Seats Available,College Trips,Community School,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible
01M448,program1,CTE Computer Science or Business & Entrepreneurship,7,8,NA,"Students are offered their choice of a 4 year sequence in either Computer Science, culminating in AP Computer Science, or CTE Business, culminating in College Now Business and Marketing courses. Students choose their track after freshmen year and are able to individualize their program. All eligible students, even those selected through CTE will have access to Early College courses through College Now. See website for full 4 year sequence. Contact our guidance staff with questions.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,University Neighborhood High School,NA,"200 Monroe Street, Manhattan NY 10002 (40.712269,-73.984128)",https://universityneighborhoodhighschool.org/,492,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Program,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Not Accessible
01M448,program2,University Neighborhood Early College,47,30,NA,"UNHS offers the most robust Early College Campus Program in NYC. Beginning in 10th grade, eligible students are able to begin earning dual high school and college bearing credits here on UNHS campus. Students must earn a 75% on the ELA Regents in 10th grade in order to be eligible for the course work. Courses include Critical Thinking, Statistics, Trigonometry, Astronomy, Chemistry, Public Speaking, Literacy and Propaganda, English 101, English 103, Sociology, Intro to Business and Marketing.",Open to New York City residents,NA,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,University Neighborhood High School,NA,"200 Monroe Street, Manhattan NY 10002 (40.712269,-73.984128)",https://universityneighborhoodhighschool.org/,492,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Program,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Not Accessible
01M450,program1,East Side Community,20,18,NA,"Our rigorous college preparatory curriculum requires students in each class to read, write, think, analyze, share, explore, solve, create, collaborate, present, discuss, debate, question, defend, negotiate, compromise, and most importantly, reflect upon themselves as learners. The goal of the school is to create a community of highly skilled students, lifetime learners, critical thinkers and socially responsible citizens who, upon graduation, will be prepared to succeed in college and beyond.",Priority to continuing 8th graders,Then to New York City residents,NA,NA,Essay/Video Response - 100%,NA,NA,NA,NA,East Side Community School,Priority to applicants eligible for free or reduced price lunch for 70% of seats,"420 East 12th Street, Manhattan NY 10009 (40.729152,-73.982472)",www.eschs.org,680,10th Grade Seats Available,Not Accessible
01M458,program1,Forsyth Satellite Academy,NA,NA,For Current Eighth Grade Students: Open only to students who will be turning 16 years of age during the upcoming school year and entering high school for the first time. For Current 9th Grade Students: Open only to students who are at least 16 years of age and have attended another high school for at least one year. Students must also successfully complete the school's interview process.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forsyth Satellite Academy,NA,"198 Forsyth Street, Manhattan NY 10002 (40.7225,-73.9907)",Forsythsatellite.org,181,NA,Not Accessible
01M539,program1,New Explorations into Science Technology and Math,50,11,NA,"At NEST+m, intellectualism, inclusivity, collaboration and exploration within and beyond our school community enable our students to lead lives filled with learning, discovery and purpose. We provide a range of services for students with disabilities including a full-inclusion program. NEST+m students blossom into practitioners: scientists, mathematicians, engineers, artists, writers, historians, musicians, painters, and linguists who approach their studies with passion and purpose.",Priority to continuing 8th graders,Then to New York City residents,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,"New Explorations into Science, Technology and Math High School (NEST+m)",NA,"111 Columbia Street, Manhattan NY 10002 (40.719416,-73.979581)",https://nestmk12.net/,1806,"10th Grade Seats Available,College Trips,Community Service Expected,Internships Available,Online Grading System,Orientation,Summer Internships",Not Accessible
01M696,program1,Early College,29,11,NA,Comprehensive liberal arts early college program. Students earn a high school diploma and a tuition-free Associate Degree from Bard College.,Open to New York City residents,NA,NA,NA,2019-20 Marking Period Grades - 10%,Humanities Response - 30%,STEM Response - 30%,Video Response - 30%,NA,Bard High School Early College,Priority to applicants eligible for free or reduced price lunch for 50% of seats,"525 East Houston Street, Manhattan NY 10002 (40.718276,-73.976093)",https://bhsec.bard.edu/manhattan/,613,"College Trips,Early College,Extended Day Program,Extended Day Tutoring,Internships Available,Orientation,Summer Bridge,Summer Internships,Summer Orientation",Partially Accessible
02M047,program1,American Sign Language Studies Program,6,6,NA,"Students partake in a four-year ASL program graduating with a proficiency in American Sign Language. Graduates can expect to obtain the knowledge and skills necessary to work with the Deaf and Hard of Hearing communities. In addition to learning American Sign Language, students are exposed to the culture and social perspective of the Deaf and Hard of Hearing communities.","Priority to ""47"" American Sign Language & English Lower School students",Then to New York City residents who know or are interested in learning American Sign Language,NA,NA,2018-19 ELA/Math State Test Scores - 45%,2018-19 Final Grades - 25%,2019-20 Marking Period Grades - 30%,NA,NA,47 The American Sign Language and English Secondary School,NA,"223 East 23rd Street, Manhattan NY 10010 (40.738374,-73.981329)",47aslhs.net,232,10th Grade Seats Available,Partially Accessible
02M135,program1,The Urban Assembly School for Emergency Management,4,4,NA,"The Urban Assembly School for Emergency Management is a small high school in downtown Manhattan that prepares students for the college of their choice and career of their dreams through hands-on and work-based learning. Students select between two innovative career pathways in Emergency Medicine and Cyber Security. Students engage in paid internships, have preferential hiring with industry partners, receive free certification as EMTs or Security Analysts, and earn free, early college credit.",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,"Urban Assembly School for Emergency Management, The",NA,"411 Pearl Street, Manhattan NY 10038 (40.711441,-74.000851)",www.uasem.org,256,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Internships,Uniform,Weekend Programs",Fully Accessible
02M139,program1,Building Arts/Carpentry & Landscape Management in Historic Preservation,4,7,NA,"This is a hands-on/minds-on nine-credit CTE sequence in Historic Preservation: Intro to Historic Preservation (9); Landscape Mgmt. I & II, (10); Building Arts-Decorative Finishing and Carpentry (11); Adv. Building Arts-Carpentry/Masonry (12). Students must participate in apx. Fourteen work-based learning trips, complete an internship and a final CTE performance assessment. Students will work with wood, bricks, stone, and plants, often OUTSIDE in ALL types of weather, and they WILL occasionally get dirty!",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Stephen T. Mather Building Arts & Craftsmanship High School,NA,"439 West 49th Street, Manhattan NY 10019 (40.763655,-73.990318)",MatherHSNYC.org,416,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible
