dbn,program,program_name,grade9geapplicantsperseat,grade9swdapplicantsperseat,eligibility,prgdesc,admissionspriority1,admissionspriority2,admissionspriority3,admissionspriority4,requirement_1,requirement_2,requirement_3,requirement_4,requirement_5,school_name,diadetails,location,website,total_students,addtl_info1,school_accessibility_description,url,rqr1,rqr2,rqr3,rqr4,rqr5,three_rqr,top_priority,ge_per_seat,lat,long,counter,ell,interest,code,id,extracurricular_activities,school_sports,language_classes,neighborhood,info,lunch,girls,boys,international,specialized,pbat,ptech,transfer,earlycollege,sport,academicopportunities1,number,offer_rate1,graduation_rate,overview_paragraph
01M292,program1,Orchard Collegiate Academy,8,9,NA,NA,Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Orchard Collegiate Academy,NA,"220 Henry Street, Manhattan NY 10002 (40.713362,-73.986051)",www.orchardcollegiateacademy.org,226,"10th Grade Seats Available,College Trips,Community School,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/17144,NA,NA,NA,NA,NA,NA,to Manhattan residents,8,40.713362,-73.986051,0,No ELL Programs,Humanities & Interdisciplinary,M46X,M46X Orchard Collegiate Academy,,,Spanish,Lower East Side,"01M292,Orchard Collegiate Academy,Humanities & Interdisciplinary,Spanish,Lower East Side",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Volleyball,"Ninth grade literacy block, science bridge elective course for AP Biology, AP U.S. History, AP English, Pre-Calculus",1,64% of offers went to this group,0.88999999,"Orchard Collegiate Academy (OCA) is a supportive, high-quality community school with a focus on college and career readiness. At OCA, our mission is to educate the whole child, exposing them to an array of academic and extracurricular opportunities including music and arts classes, AP classes, leadership roles. Our school partners with the Henry Street Settlement to provide additional college prep, arts programming, social-emotional support, and resources/referrals for the entire family. Students benefit from a full-time college counselor who provides one-on-one counseling and trips to all students. Our partnership with the Abrons Arts Center allows students to enroll in world-class performing arts classes, such as Drama, Music, and Dance."
01M448,program1,CTE Computer Science or Business & Entrepreneurship,7,8,NA,"Students are offered their choice of a 4 year sequence in either Computer Science, culminating in AP Computer Science, or CTE Business, culminating in College Now Business and Marketing courses. Students choose their track after freshmen year and are able to individualize their program. All eligible students, even those selected through CTE will have access to Early College courses through College Now. See website for full 4 year sequence. Contact our guidance staff with questions.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,University Neighborhood High School,NA,"200 Monroe Street, Manhattan NY 10002 (40.712269,-73.984128)",https://universityneighborhoodhighschool.org/,492,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Program,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Not Accessible,https://www.myschools.nyc/en/schools/high-school/19452,NA,NA,NA,NA,NA,NA,to NYC residents,7,40.712269,-73.984128,0,No ELL Programs,Computer Science & Technology; Business,M35A,M35A CTE Computer Science or Business & Entrepreneurship,,,"Mandarin, Spanish",Lower East Side,"01M448,University Neighborhood High School,Computer Science & Technology; Business,Mandarin,Spanish,Lower East Side",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Basketball,Bowling,Handball,Bowling,Softball",Early College Program Offers 30 FREE College Credits here at UNHS!,1,,0.94,"UNHS is an Early College High School that offers rigorous curricula with individualized access for all, empowering students to prosper in higher education and the work force. Beginning in 10th grade, our students can earn up to 30 tuition-free college credits before graduating high school through CUNY College Now classes offered on-site (12 different courses on-site per year) for both College and High School course credit and 8 Advanced Placement (AP) courses. Our CTE program offers students a choice between Computer Science and Business & Finance.  2019 college acceptances included Yale University, CUNY's, SUNY's and private colleges.  In 2018 UNHS was ranked the 15th best High School in NYC by US News and World Report (97th Percentile)."
01M448,program2,University Neighborhood Early College,47,30,NA,"UNHS offers the most robust Early College Campus Program in NYC. Beginning in 10th grade, eligible students are able to begin earning dual high school and college bearing credits here on UNHS campus. Students must earn a 75% on the ELA Regents in 10th grade in order to be eligible for the course work. Courses include Critical Thinking, Statistics, Trigonometry, Astronomy, Chemistry, Public Speaking, Literacy and Propaganda, English 101, English 103, Sociology, Intro to Business and Marketing.",Open to New York City residents,NA,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,University Neighborhood High School,NA,"200 Monroe Street, Manhattan NY 10002 (40.712269,-73.984128)",https://universityneighborhoodhighschool.org/,492,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Program,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Not Accessible,https://www.myschools.nyc/en/schools/high-school/19452,2018-19 ELA/Math State Test Scores,2018-19 Final Grades,2019-20 Marking Period Grades,NA,NA,TRUE,to NYC residents,47,40.712269,-73.984128,0,No ELL Programs,Humanities & Interdisciplinary; Science & Math,M35C,M35C University Neighborhood Early College,,,"Mandarin, Spanish",Lower East Side,"01M448,University Neighborhood High School,Humanities & Interdisciplinary; Science & Math,Mandarin,Spanish,Lower East Side",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Basketball,Bowling,Handball,Bowling,Softball",Early College Program Offers 30 FREE College Credits here at UNHS!,2,,0.94,"UNHS is an Early College High School that offers rigorous curricula with individualized access for all, empowering students to prosper in higher education and the work force. Beginning in 10th grade, our students can earn up to 30 tuition-free college credits before graduating high school through CUNY College Now classes offered on-site (12 different courses on-site per year) for both College and High School course credit and 8 Advanced Placement (AP) courses. Our CTE program offers students a choice between Computer Science and Business & Finance.  2019 college acceptances included Yale University, CUNY's, SUNY's and private colleges.  In 2018 UNHS was ranked the 15th best High School in NYC by US News and World Report (97th Percentile)."
01M450,program1,East Side Community,20,18,NA,"Our rigorous college preparatory curriculum requires students in each class to read, write, think, analyze, share, explore, solve, create, collaborate, present, discuss, debate, question, defend, negotiate, compromise, and most importantly, reflect upon themselves as learners. The goal of the school is to create a community of highly skilled students, lifetime learners, critical thinkers and socially responsible citizens who, upon graduation, will be prepared to succeed in college and beyond.",Priority to continuing 8th graders,Then to New York City residents,NA,NA,Essay/Video Response - 100%,NA,NA,NA,NA,East Side Community School,Priority to applicants eligible for free or reduced price lunch for 70% of seats,"420 East 12th Street, Manhattan NY 10009 (40.729152,-73.982472)",www.eschs.org,680,10th Grade Seats Available,Not Accessible,https://www.myschools.nyc/en/schools/high-school/14921,Essay/Video Response,NA,NA,NA,NA,NA,to continuing 8th graders,20,40.729152,-73.982472,0,No ELL Programs,Humanities & Interdisciplinary,M58A,M58A East Side Community,,,"French, Italian, Japanese, Korean, Spanish",East Village,"01M450,East Side Community School,Humanities & Interdisciplinary,French,Italian,Japanese,Korean,Spanish,East Village",TRUE,NA,NA,NA,NA,1,NA,NA,NA,"Baseball,Basketball,Soccer,Basketball,Soccer,Softball,Volleyball",All students develop graduation portfolios in the core subjects and present and defend their work in roundtables to committees each semester.,1,74% of offers went to this group,0.89999998,"We are a small college preparatory school that takes pride in our engaging and challenging curriculum. In our small classes, our students creatively apply what they learn to complete interesting, relevant and rigorous projects. Our teachers know our students well and provide the support they need to succeed. Because we believe that it is important for students to discover and develop their passions, we offer our students an amazing amount of extracurricular activities and travel opportunities that they enjoy tremendously. East Side is a great setting for students who are interested in being part of a vibrant and diverse community that focuses on academic, social, and emotional growth."
01M458,program1,Forsyth Satellite Academy,NA,NA,For Current Eighth Grade Students: Open only to students who will be turning 16 years of age during the upcoming school year and entering high school for the first time. For Current 9th Grade Students: Open only to students who are at least 16 years of age and have attended another high school for at least one year. Students must also successfully complete the school's interview process.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forsyth Satellite Academy,NA,"198 Forsyth Street, Manhattan NY 10002 (40.7225,-73.9907)",Forsythsatellite.org,181,NA,Not Accessible,https://www.myschools.nyc/en/schools/high-school/19768,NA,NA,NA,NA,NA,NA,No Priority,NA,40.7225,-73.9907,0,No ELL Programs,,A40A,A40A Forsyth Satellite Academy,,Basketball,"American Sign Language, Spanish",Chinatown,"01M458,Forsyth Satellite Academy,Basketball,American Sign Language,Spanish,Chinatown",FALSE,NA,NA,NA,NA,NA,NA,1,NA,"Basketball,Basketball","Students are exempt from Regents exams. Instead, as Forsyth is a member of the New York State Performance Consortium, students complete project-based assessments.",1,,NA,"Forsyth Satellite High School serves entering ninth grade students who are behind their peers by two or more years. We are a small, nurturing, student-centered school where all students are provided the support they need to graduate high school and pursue their post-secondary goals. At Forsyth, all students are part of a Family Group, our advisory structure that supports students in  developing and reaching academic, social-emotional and post-secondary goals. Our culturally responsive curriculum is designed to engage students in meaningful project-based learning. We implement Restorative Justice practices and are committed to infusing trauma-informed, healing-centered, anti-racist practices in all the work we do."
01M539,program1,New Explorations into Science Technology and Math,50,11,NA,"At NEST+m, intellectualism, inclusivity, collaboration and exploration within and beyond our school community enable our students to lead lives filled with learning, discovery and purpose. We provide a range of services for students with disabilities including a full-inclusion program. NEST+m students blossom into practitioners: scientists, mathematicians, engineers, artists, writers, historians, musicians, painters, and linguists who approach their studies with passion and purpose.",Priority to continuing 8th graders,Then to New York City residents,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,"New Explorations into Science, Technology and Math High School (NEST+m)",NA,"111 Columbia Street, Manhattan NY 10002 (40.719416,-73.979581)",https://nestmk12.net/,1806,"10th Grade Seats Available,College Trips,Community Service Expected,Internships Available,Online Grading System,Orientation,Summer Internships",Not Accessible,https://www.myschools.nyc/en/schools/high-school/15103,2018-19 ELA/Math State Test Scores,2018-19 Final Grades,2019-20 Marking Period Grades,NA,NA,TRUE,to continuing 8th graders,50,40.719416,-73.979581,0,No ELL Programs,Science & Math,M29A,M29A New Explorations into Science Technology and Math,"School Newspaper, National Honor Society (NHS), Peer Leaders Club, Student Government, Yearbook, Asian Culture Club, Black Student Union (BSU), Fashion Club, Feminism Club, Gender & Sexuality Alliance (GSA), Genealogy Club, Jewish Student Union, Latino & Hispanic Student Union (LHSU), Mediterranean Culture Club, Muslim Student Association (MSA), Coding Club, Debate Club, Investment Club, Literary Magazine Club, Math Team, Model UN, Next Generation Politics, Robotics Club, Science Olympiad Team Science Research Club, A Capella Project, Anime Club, Art Club, Film Club, Improv Troupe, Jazz Combo Club, Tech Crew, Advertising & Marketing Club, Key Club, Nature Club, Red Cross Club, WE Club, Blog & Podcast Club, Tabletop Gaming Club","Badminton Club, Dance Team, Cheerleading Team, Skateboarding Club, Step Club, Table Tennis Club, Yoga & Meditation Club","Mandarin, Spanish",Lower East Side,"01M539,New Explorations into Science,Technology and Math High School (NEST+m),Science & Math,School Newspaper,National Honor Society (NHS),Peer Leaders Club,Student Government,Yearbook,Asian Culture Club,Black Student Union (BSU),Fashion Club,Feminism Club,Gender & Sexuality Alliance (GSA),Genealogy Club,Jewish Student Union,Latino & Hispanic Student Union (LHSU),Mediterranean Culture Club,Muslim Student Association (MSA),Coding Club,Debate Club,Investment Club,Literary Magazine Club,Math Team,Model UN,Next Generation Politics,Robotics Club,Science Olympiad Team Science Research Club,A Capella Project,Anime Club,Art Club,Film Club,Improv Troupe,Jazz Combo Club,Tech Crew,Advertising & Marketing Club,Key Club,Nature Club,Red Cross Club,WE Club,Blog & Podcast Club,Tabletop Gaming Club,Badminton Club,Dance Team,Cheerleading Team,Skateboarding Club,Step Club,Table Tennis Club,Yoga & Meditation Club,Mandarin,Spanish,Lower East Side",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Basketball,Fencing,Indoor Track,Soccer,Basketball,Fencing,Soccer,Softball,Table Tennis,Volleyball,Badminton Club,Dance Team,Cheerleading Team,Skateboarding Club,Step Club,Table Tennis Club,Yoga & Meditation Club","Minds Matter, SEO Scholars, POSSE Scholarship, CUNY College Now, Computer Science Partnership with Harvard University and Microsoft_CS50 Curriculum",1,27% of offers went to this group,1,"NEST+m is a Citywide G&T K-12 school. Our academically rigorous program has made us one of the finest schools in the city. We are committed to developing each student's capacity for academic and intellectual achievement through individual and collaborative learning. We provide a range of services for students with disabilities including a full-inclusion program. NEST+m students blossom into practitioners: scientists, mathematicians, engineers, writers, historians, musicians, painters, linguists & artists.   NEST+m students develop the academic mindsets and metacognitive skills necessary for long-term learning. Multiple opportunities exist for student internships and exploration in the Sciences & Arts."
01M696,program1,Early College,29,11,NA,Comprehensive liberal arts early college program. Students earn a high school diploma and a tuition-free Associate Degree from Bard College.,Open to New York City residents,NA,NA,NA,2019-20 Marking Period Grades - 10%,Humanities Response - 30%,STEM Response - 30%,Video Response - 30%,NA,Bard High School Early College,Priority to applicants eligible for free or reduced price lunch for 50% of seats,"525 East Houston Street, Manhattan NY 10002 (40.718276,-73.976093)",https://bhsec.bard.edu/manhattan/,613,"College Trips,Early College,Extended Day Program,Extended Day Tutoring,Internships Available,Orientation,Summer Bridge,Summer Internships,Summer Orientation",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/15710,2019-20 Marking Period Grades,Humanities Response,STEM Response,Video Response,NA,NA,to NYC residents,29,40.718276,-73.976093,0,No ELL Programs,Humanities & Interdisciplinary,M51A,M51A Early College,"Anime Club, Art Magazine, East Asian Culture Club, Bardvark Student Newspaper, Black Students Alliance, African Students Organization, Debate Team, Diversity Initiative, Eco Club, GSA, Literary Magazine, Model UN, Robotics, Science Olympiad, Math Team, Itching to Stitch, Muslim Students Alliance, Philosophy Club, Quiz Bowl, Step Team, Student Union, Table Tennis, Theater Production, Winter and Spring Concerts, Yearbook, BuildON Malawi, CheerNastics, Swim Club, Poetry Club, Photography Club, Fitness Club, Scrap Art Magazine, Bollywood, Sailing Mentorships, Best Buddies, Chess Club, Cooking Club, Animal Rights Club, Theatre Club, Model Congress, Lend A Hand, Music Club, Indoor Track Club, Latin American Student Organization, Public Speaking Club, Youth Progressive Policy Group, Y2 Committee, Jewish Student Alliance, Students Taking Action for Gender Equity","Cross Country, Ultimate Frisbee, Track & Field, Tennis, Basketball, Volleyball, Soccer, Baseball","Greek, Japanese, Latin, Mandarin, Spanish",Lower East Side,"01M696,Bard High School Early College,Humanities & Interdisciplinary,Anime Club,Art Magazine,East Asian Culture Club,Bardvark Student Newspaper,Black Students Alliance,African Students Organization,Debate Team,Diversity Initiative,Eco Club,GSA,Literary Magazine,Model UN,Robotics,Science Olympiad,Math Team,Itching to Stitch,Muslim Students Alliance,Philosophy Club,Quiz Bowl,Step Team,Student Union,Table Tennis,Theater Production,Winter and Spring Concerts,Yearbook,BuildON Malawi,CheerNastics,Swim Club,Poetry Club,Photography Club,Fitness Club,Scrap Art Magazine,Bollywood,Sailing Mentorships,Best Buddies,Chess Club,Cooking Club,Animal Rights Club,Theatre Club,Model Congress,Lend A Hand,Music Club,Indoor Track Club,Latin American Student Organization,Public Speaking Club,Youth Progressive Policy Group,Y2 Committee,Jewish Student Alliance,Students Taking Action for Gender Equity,Cross Country,Ultimate Frisbee,Track & Field,Tennis,Basketball,Volleyball,Soccer,Baseball,Greek,Japanese,Latin,Mandarin,Spanish,Lower East Side",TRUE,NA,NA,NA,NA,NA,NA,NA,1,"Basketball,Soccer,Tennis,Basketball,Cross Country,Outdoor Track,Soccer,Tennis,Volleyball,Cross Country,Ultimate Frisbee,Track & Field,Tennis,Basketball,Volleyball,Soccer,Baseball","First two years at BHSEC: courses for grounding in mathematics, science, history, English, and a foreign language, arts classes, PE, and Health.",1,,0.99000001,"Bard High School Early College Manhattan (BHSEC Manhattan) was founded on the belief that many students are ready to do serious college work at age 16. Bard College partnered with the NYC Department of Education to create an innovative program that enables high school students to move in four years from 9th grade through the first two years of college, earning a high school diploma, up to sixty college credits, and an Associate of Arts (AA) degree upon graduation."
02M047,program1,American Sign Language Studies Program,6,6,NA,"Students partake in a four-year ASL program graduating with a proficiency in American Sign Language. Graduates can expect to obtain the knowledge and skills necessary to work with the Deaf and Hard of Hearing communities. In addition to learning American Sign Language, students are exposed to the culture and social perspective of the Deaf and Hard of Hearing communities.","Priority to ""47"" American Sign Language & English Lower School students",Then to New York City residents who know or are interested in learning American Sign Language,NA,NA,2018-19 ELA/Math State Test Scores - 45%,2018-19 Final Grades - 25%,2019-20 Marking Period Grades - 30%,NA,NA,47 The American Sign Language and English Secondary School,NA,"223 East 23rd Street, Manhattan NY 10010 (40.738374,-73.981329)",47aslhs.net,232,10th Grade Seats Available,Partially Accessible,https://www.myschools.nyc/en/schools/high-school/18009,2018-19 ELA/Math State Test Scores,2018-19 Final Grades,2019-20 Marking Period Grades,NA,NA,TRUE,Other,6,40.738374,-73.981329,0,No ELL Programs,Humanities & Interdisciplinary,M54A,M54A American Sign Language Studies Program,,,American Sign Language,Gramercy,"02M047,47 The American Sign Language and English Secondary School,Humanities & Interdisciplinary,American Sign Language,Gramercy",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Stunt,"Small class sizes, after-school tutoring and after-school enrichment programs .",1,2% of offers went to this group,0.93000001,"At ""47"" the American Sign Language and English High School, we believe that all students have the right to learn in an inclusive, academically rigorous environment. Our graduates emerge proficient in American Sign Language (ASL). Our small school community nurtures responsible citizens of the world, addressing all aspects of young adult development by providing the necessary individual supports for our students to be college and career ready."
02M135,program1,The Urban Assembly School for Emergency Management,4,4,NA,"The Urban Assembly School for Emergency Management is a small high school in downtown Manhattan that prepares students for the college of their choice and career of their dreams through hands-on and work-based learning. Students select between two innovative career pathways in Emergency Medicine and Cyber Security. Students engage in paid internships, have preferential hiring with industry partners, receive free certification as EMTs or Security Analysts, and earn free, early college credit.",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,"Urban Assembly School for Emergency Management, The",NA,"411 Pearl Street, Manhattan NY 10038 (40.711441,-74.000851)",www.uasem.org,256,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Internships,Uniform,Weekend Programs",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/16244,NA,NA,NA,NA,NA,NA,to Manhattan residents,4,40.711441,-74.000851,0,No ELL Programs,Health Professions,M28A,M28A The Urban Assembly School for Emergency Management,,,French,Chinatown,"02M135,Urban Assembly School for Emergency Management,The,Health Professions,French,Chinatown",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Cross Country,Indoor Track,Lacrosse,Outdoor Track,Soccer,Volleyball,Wrestling,Badminton,Basketball,Bowling,Cross Country,Flag Football,Indoor Track,Outdoor Track,Soccer,Softball,Volleyball,Stunt","Emergency Medicine Pathway: free CUNY college credit and Emergency Medical Technician (EMT) certification, driver's training program, and preferential hiring with a hospital partner and the FDNY",1,48% of offers went to this group,0.89999998,"The Urban Assembly School for Emergency Management is a small high school in downtown Manhattan that prepares students for the college of their choice and career of their dreams through hands-on and work-based learning. Students select between two innovative career pathways in Emergency Medicine and Cyber Security. Students engage in paid internships, have preferential hiring with industry partners, receive free certification as EMTs or Security Analysts, and earn free, early college credit. Our college and career counselors tailor each student's educational and extracurricular experience based on his/her passions and needs so they can develop the confidence to pursue their dreams and the character to serve their communities."
02M139,program1,Building Arts/Carpentry & Landscape Management in Historic Preservation,4,7,NA,"This is a hands-on/minds-on nine-credit CTE sequence in Historic Preservation: Intro to Historic Preservation (9); Landscape Mgmt. I & II, (10); Building Arts-Decorative Finishing and Carpentry (11); Adv. Building Arts-Carpentry/Masonry (12). Students must participate in apx. Fourteen work-based learning trips, complete an internship and a final CTE performance assessment. Students will work with wood, bricks, stone, and plants, often OUTSIDE in ALL types of weather, and they WILL occasionally get dirty!",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Stephen T. Mather Building Arts & Craftsmanship High School,NA,"439 West 49th Street, Manhattan NY 10019 (40.763655,-73.990318)",MatherHSNYC.org,416,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/18752,NA,NA,NA,NA,NA,NA,to Manhattan residents,4,40.763655,-73.990318,0,No ELL Programs,Architecture,M18A,M18A Building Arts/Carpentry & Landscape Management in Historic Preservation,"Art club, Wood carving club, Carpentry club, National Honor Society, Student Government, Senior Events Planning, Board games club, KPop club, Urban culture club, Book of the Month, Cooking club, Peer Mediators, Love is Love club, Music Mixing club, Building Up, Branching Out",,Spanish,Clinton,"02M139,Stephen T. Mather Building Arts & Craftsmanship High School,Architecture,Art club,Wood carving club,Carpentry club,National Honor Society,Student Government,Senior Events Planning,Board games club,KPop club,Urban culture club,Book of the Month,Cooking club,Peer Mediators,Love is Love club,Music Mixing club,Building Up,Branching Out,Spanish,Clinton",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Bowling,Handball,Outdoor Track,Soccer,Volleyball,Basketball,Flag Football,Soccer,Softball,Volleyball","You can take college classes as well as advanced placement classes, earning transferable college credits",1,59% of offers went to this group,0.88,"Are you looking for a quality high school that leads you to college, a rewarding career, or both? Do you value a positive school culture? Do you like challenging projects, working with your hands, learning by doing? How about fieldtrips and exploring the outdoors? Are you a positive risk-taker? Are you creative, action-oriented, responsible, collaborative, and conscientious? At Mather, you will prepare for college and career through hands-on/minds-on learning and skills training. With our great partner the National Park Service (NPS), we offer a CTE pathway in the building arts (carpentry/decorative finishing/masonry) and landscape management through a historic preservation lens. Skills you learn here will open doors to a successful future."
