dbn,n_prgm,school_name,diadetails,location,website,total_students,addtl_info1,school_accessibility_description,url,coor,lat,long,n,prgm_set
01M292,1,Orchard Collegiate Academy,,"220 Henry Street, Manhattan NY 10002 (40.713362,-73.986051)",www.orchardcollegiateacademy.org,226,"10th Grade Seats Available,College Trips,Community School,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/17144,"40.713362,-73.986051",40.713362,-73.986051,0.05,Orchard Collegiate Academy
01M448,2,University Neighborhood High School,,"200 Monroe Street, Manhattan NY 10002 (40.712269,-73.984128)",https://universityneighborhoodhighschool.org/,492,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Program,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Not Accessible,https://www.myschools.nyc/en/schools/high-school/19452,"40.712269,-73.984128",40.712269,-73.984128,0.1,"CTE Computer Science or Business & Entrepreneurship, University Neighborhood Early College"
01M450,1,East Side Community School,Priority to applicants eligible for free or reduced price lunch for 70% of seats,"420 East 12th Street, Manhattan NY 10009 (40.729152,-73.982472)",www.eschs.org,680,10th Grade Seats Available,Not Accessible,https://www.myschools.nyc/en/schools/high-school/14921,"40.729152,-73.982472",40.729152,-73.982472,0.05,East Side Community
01M458,1,Forsyth Satellite Academy,,"198 Forsyth Street, Manhattan NY 10002 (40.7225,-73.9907)",Forsythsatellite.org,181,,Not Accessible,https://www.myschools.nyc/en/schools/high-school/19768,"40.7225,-73.9907",40.7225,-73.9907,0.05,Forsyth Satellite Academy
01M539,1,"New Explorations into Science, Technology and Math High School (NEST+m)",,"111 Columbia Street, Manhattan NY 10002 (40.719416,-73.979581)",https://nestmk12.net/,1806,"10th Grade Seats Available,College Trips,Community Service Expected,Internships Available,Online Grading System,Orientation,Summer Internships",Not Accessible,https://www.myschools.nyc/en/schools/high-school/15103,"40.719416,-73.979581",40.719416,-73.979581,0.05,New Explorations into Science Technology and Math
01M696,1,Bard High School Early College,Priority to applicants eligible for free or reduced price lunch for 50% of seats,"525 East Houston Street, Manhattan NY 10002 (40.718276,-73.976093)",https://bhsec.bard.edu/manhattan/,613,"College Trips,Early College,Extended Day Program,Extended Day Tutoring,Internships Available,Orientation,Summer Bridge,Summer Internships,Summer Orientation",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/15710,"40.718276,-73.976093",40.718276,-73.976093,0.05,Early College
02M047,1,47 The American Sign Language and English Secondary School,,"223 East 23rd Street, Manhattan NY 10010 (40.738374,-73.981329)",47aslhs.net,232,10th Grade Seats Available,Partially Accessible,https://www.myschools.nyc/en/schools/high-school/18009,"40.738374,-73.981329",40.738374,-73.981329,0.05,American Sign Language Studies Program
02M135,1,"Urban Assembly School for Emergency Management, The",,"411 Pearl Street, Manhattan NY 10038 (40.711441,-74.000851)",www.uasem.org,256,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Internships,Uniform,Weekend Programs",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/16244,"40.711441,-74.000851",40.711441,-74.000851,0.05,The Urban Assembly School for Emergency Management
02M139,1,Stephen T. Mather Building Arts & Craftsmanship High School,,"439 West 49th Street, Manhattan NY 10019 (40.763655,-73.990318)",MatherHSNYC.org,416,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/18752,"40.763655,-73.990318",40.763655,-73.990318,0.05,Building Arts/Carpentry & Landscape Management in Historic Preservation
02M260,1,"Clinton School, The",Priority to applicants eligible for free or reduced price lunch for 33% of seats,"10 East 15th Street, Manhattan NY 10003 (40.736526,-73.992727)",theclintonschool.net,776,"College Trips,Community Service Expected,Extended Day Tutoring,Internships Available,Online Grading System,Orientation",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/18614,"40.736526,-73.992727",40.736526,-73.992727,0.05,The Clinton School
